,state,county,county_name,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime,total_offenses
0,34,001,ATLANTIC,1189,39,841,42,3775,228,0,59,181,1882,6354
1,34,003,BERGEN,234,37,796,5,8182,780,14921,82,460,318,25497
2,34,005,BURLINGTON,140,16,2052,9,6768,423,12651,167,93,548,22319
3,34,007,CAMDEN,2511,27,3094,29,11968,286,19908,57,666,4025,38546
4,34,009,CAPE MAY,241,5,903,2,625,17,0,28,21,270,1842
5,34,011,CUMBERLAND,421,48,1354,16,4213,150,0,0,300,802,6502
6,34,013,ESSEX,1888,123,213,177,7443,2937,12277,206,310,6940,25574
7,34,015,GLOUCESTER,209,20,680,4,2128,236,127,32,281,169,3717
8,34,017,HUDSON,962,88,1660,1,2975,127,0,33,1510,2190,7356
9,34,019,HUNTERDON,15,2,60,0,733,21,482,3,8,2,1324
10,34,021,MERCER,0,27,960,0,2896,240,13763,71,395,1283,18352
11,34,023,MIDDLESEX,481,13,1742,23,5567,604,14016,8,399,472,22853
12,34,025,MONMOUTH,483,15,852,15,3553,311,12295,106,129,1987,17759
13,34,027,MORRIS,52,4,192,6,2844,316,4231,51,32,270,7728
14,34,029,OCEAN,204,25,1888,2,10219,324,0,60,105,26,12827
15,34,031,PASSAIC,845,16,3340,26,11661,2962,15670,21,754,4863,35295
16,34,033,SALEM,110,0,295,3,2318,0,1157,23,0,20,3906
17,34,035,SOMERSET,126,10,986,0,8177,85,1923,24,88,0,11419
18,34,037,SUSSEX,58,5,436,0,22,54,728,10,0,28,1313
19,34,039,UNION,1144,18,4910,13,3779,1176,9751,49,96,2453,20936
20,34,041,WARREN,55,4,46,2,795,11,1325,14,28,110,2280
