county,agency_name,ORI,offense,cases_reported,cases_cleared,data_year
Atlantic,Somers Point Police Department,NJ0012100,aggravated-assault,13,5,2017
Atlantic,Ventnor City Police Department,NJ0012200,aggravated-assault,2,2,2017
Atlantic,Stockton University,NJ0012400,aggravated-assault,0,0,2017
Atlantic,State Police: Atlantic County,NJ001SP00,aggravated-assault,28,11,2017
Bergen,Bergen County Sheriff's Office,NJ0020000,aggravated-assault,3,2,2017
Bergen,Allendale Police Department,NJ0020100,aggravated-assault,0,0,2017
Bergen,Alpine Police Department,NJ0020200,aggravated-assault,0,0,2017
Bergen,Bergenfield Police Department,NJ0020300,aggravated-assault,0,0,2017
Bergen,Bogota Police Department,NJ0020400,aggravated-assault,0,0,2017
Bergen,Carlstadt Police Department,NJ0020500,aggravated-assault,9,6,2017
Bergen,Cliffside Park Police Department,NJ0020600,aggravated-assault,12,12,2017
Bergen,Closter Police Department,NJ0020700,aggravated-assault,0,0,2017
Bergen,Cresskill Police Department,NJ0020800,aggravated-assault,2,1,2017
Bergen,Demarest Police Department,NJ0020900,aggravated-assault,1,1,2017
Bergen,Dumont Police Department,NJ0021000,aggravated-assault,3,2,2017
Bergen,Elmwood Park Police Department,NJ0021100,aggravated-assault,6,5,2017
Bergen,East Rutherford Police Department,NJ0021200,aggravated-assault,10,8,2017
Bergen,Edgewater Police Department,NJ0021300,aggravated-assault,6,6,2017
Bergen,Emerson Police Department,NJ0021400,aggravated-assault,2,2,2017
Bergen,Englewood Police Department,NJ0021500,aggravated-assault,38,20,2017
Bergen,Midland Park Police Department,NJ0023500,aggravated-assault,3,3,2017
Bergen,Montvale Police Department,NJ0023600,aggravated-assault,0,0,2017
Bergen,Moonachie Police Department,NJ0023700,aggravated-assault,1,0,2017
Bergen,New Milford Police Department,NJ0023800,aggravated-assault,0,0,2017
Bergen,North Arlington Police Department,NJ0023900,aggravated-assault,10,7,2017
Bergen,Northvale Police Department,NJ0024000,aggravated-assault,0,0,2017
Bergen,Norwood Police Department,NJ0024100,aggravated-assault,0,0,2017
Bergen,Oakland Police Department,NJ0024200,aggravated-assault,7,6,2017
Bergen,Old Tappan Police Department,NJ0024300,aggravated-assault,0,0,2017
Bergen,Oradell Police Department,NJ0024400,aggravated-assault,1,1,2017
Bergen,Palisades Park Police Department,NJ0024500,aggravated-assault,9,8,2017
Bergen,Paramus Police Department,NJ0024600,aggravated-assault,6,5,2017
Bergen,Park Ridge Police Department,NJ0024700,aggravated-assault,1,0,2017
Bergen,Ramsey Police Department,NJ0024800,aggravated-assault,3,3,2017
Bergen,Ridgefield Police Department,NJ0024900,aggravated-assault,1,1,2017
Bergen,Ridgefield Park Police Department,NJ0025000,aggravated-assault,7,8,2017
Bergen,Ridgewood Police Department,NJ0025100,aggravated-assault,4,2,2017
Bergen,River Edge Police Department,NJ0025200,aggravated-assault,0,0,2017
Bergen,River Vale Township Police Department,NJ0025300,aggravated-assault,0,0,2017
Bergen,Rochelle Park Township Police Department,NJ0025400,aggravated-assault,1,0,2017
Burlington,Mount Laurel Township Police Department,NJ0032500,aggravated-assault,16,11,2017
Burlington,New Hanover Township Police Department,NJ0032600,aggravated-assault,0,0,2017
Burlington,North Hanover Township Police Department,NJ0032700,aggravated-assault,3,3,2017
Burlington,Palmyra Police Department,NJ0032800,aggravated-assault,7,5,2017
Burlington,Pemberton Police Department,NJ0032900,aggravated-assault,1,1,2017
Burlington,Pemberton Township Police Department,NJ0033000,aggravated-assault,73,25,2017
Burlington,Riverside Township Police Department,NJ0033100,aggravated-assault,9,9,2017
Burlington,Riverton Police Department,NJ0033200,aggravated-assault,0,0,2017
Burlington,Springfield Township Police Department,NJ0033500,aggravated-assault,0,0,2017
Burlington,Westampton Township Police Department,NJ0033800,aggravated-assault,10,5,2017
Burlington,State Police: Burlington County,NJ003SP00,aggravated-assault,21,9,2017
Camden,Camden County Sheriff's Office,NJ0040000,aggravated-assault,1,1,2017
Camden,Audubon Police Department,NJ0040100,aggravated-assault,3,3,2017
Camden,Audubon Park Police Department,NJ0040200,aggravated-assault,0,0,2017
Camden,Barrington Police Department,NJ0040300,aggravated-assault,2,1,2017
Camden,Bellmawr Police Department,NJ0040400,aggravated-assault,3,1,2017
Camden,Berlin Police Department,NJ0040500,aggravated-assault,9,7,2017
Camden,Berlin Township Police Department,NJ0040600,aggravated-assault,5,3,2017
Camden,Brooklawn Police Department,NJ0040700,aggravated-assault,9,9,2017
Camden,Camden County Police Department,NJ0040800,aggravated-assault,954,421,2017
Essex,Irvington Police Department,NJ0070900,aggravated-assault,140,69,2017
Essex,Livingston Township Police Department,NJ0071000,aggravated-assault,3,2,2017
Essex,Maplewood Township Police Department,NJ0071100,aggravated-assault,14,11,2017
Essex,Millburn Township Police Department,NJ0071200,aggravated-assault,0,0,2017
Essex,Montclair Police Department,NJ0071300,aggravated-assault,29,21,2017
Essex,North Caldwell Police Department,NJ0071500,aggravated-assault,2,1,2017
Essex,Nutley Township Police Department,NJ0071600,aggravated-assault,12,8,2017
Essex,Orange Police Department,NJ0071700,aggravated-assault,81,34,2017
Essex,Roseland Police Department,NJ0071800,aggravated-assault,1,1,2017
Essex,South Orange Police Department,NJ0071900,aggravated-assault,9,9,2017
Essex,Verona Police Department,NJ0072000,aggravated-assault,3,2,2017
Essex,West Caldwell Township Police Department,NJ0072100,aggravated-assault,6,5,2017
Essex,West Orange Police Department,NJ0072200,aggravated-assault,52,43,2017
